Label,Tweets
1,امر بفتره صعبه جدا وهالفتره تعبتني كثير
2,اتبسطت امبارح فشخ لمجرد اني شفت اصحابي بتوع الدعوه  عاوزين نعمل يوم يجدعان كلنا كدا اي مكان واله هيبقي يوم حلو 
1,الشعور الي احسه والرغبه الي تداهمني عشان انهي حياتي فجاه اسوء شي مكن يمر علي بشر
2,روحي سعيده سعيده جدا ️
2,بالنسبه لتاجيل الافراح اجل كورونا  شي عقلاني يرضي الخالق العباد
1,يارب اتخلص مزاجي السيء باسرع وقت قبل افقد باقي علاقاتي بسبه
1,انا حاولت انتحر وانا صغيره ليه مامت وافتكيت 
1,وربي بعدها وانا حالتي سيء الي اسوء اوقاتها وحتي قبلها ب اسبوع وبعدها يوم اكره نفسي وحياتي وابي اقتلني
2,طاقه ايجابيه 
1,فيني ضيقه مو طبيعي 
2,روحي سعيده بهالصباح وجدا ️
1,القلق والحرقان اكثر شعور مسيطر علي
1,ذبحني الارق صدق مو قادره انام هالايام اقسم باله عذاب
1,قلبي يعد يتحمل  تعبت اله وضاق صدري وسئمت الحياه  فادعوك ان تاخدني بجوارك لان الدنيا اصبح قلوب حجار
2,متحمس لمعرض الرياض لكتاب جدا 
1,لايك انك مو متحمس لديربي وتدري انه بالاخير رح ينتهي تعادل سلبي
1,انا مكسوره ومافي شي بالدنيا يرجعني زي كنت 
1,متي اموت وارتاح وترتاحون مني
1,نعيد ونقول  الحياه مو عادله 
2,محب القهوه العربيه متي يفهمون قرايبي 
2,اتيت فكري ابتسمت ادراك وابكي 
1,افهم الناس محد يفهمني 
1,احس كاره شي حتي نفسي واله
1,احس اني محبطه و مافيني طاقه اداوم مره
2,حلو اول يوم دروس دا لطيف ماعنديش درس
1,هالفتره احس مافيني طاقه اسولف اي شخص كان 
1,رب انهي حياتي وفكني قرف هالحياه 
1,امي الفتره دي كانت بتضايقني اوي كانت تشوفني منعزله تقولي بومه كئيبه و اني بمثل ليه كانت بتعمل كده
1,فرحتي قربك وانتهي الكلام
2,اسوء لاعب توصيل الكور البلايلي والشيخ المقهوي يهون سعيد المولد
1,خلال تجربتي بانواع المسكنات وحتي بالجرعات العاليه كانت تؤثر علي شخصي يعني كانت تحكم بالالم
2,انت حبيبي وسندي 
1,تعبت التفكير شيئ شعوري بالياس تراكم الامنيات والاحلام تعبت التصرف بالسعاده تعبت الحياه ايضا 
2,الاهتمام نصف السعاده كلها سعاده ابدا الحب اهتمام 
1,يمكن كلامي بيتاخد بهزار عندهم عرفوا كميه المرات الي حاولت انتحر هيجيلهم ذبحه صدريه
2,وانا اقول حب صاحبي فاق روحي ️
1,اكتشفت موهبتي واخيرا واتمني تاخذونها علي محمل الجد هالمره اعرف ابكي نفسي واله جد اعرف ابكيني بدون سب عظيمه يانا 
2,طاقه ايجابيه
2,واني اعشقك لحد يجعلني اعتقد وبكل ثقه اني ومعك اكثر اهل الارض سعاده واجملهم حظا 
2,اتمني يبقي يوم حلو بفوز الاهلي والريال يارب
2,لحد يقرب حتي تفرقنا  حبيبي حتي بالفرقي ️️
1,تعبت شي يصير الفتره يمديني اختفي الحياه وافتك
2,كان يوم حلو وتغير
2,الدنيا حلوه مثل قلب ابوي 
2,اكثر ناس يضحكوني الي فالريكوست مسجز احسهم ٠
1,الحياه ابدا مو عادله 
2,انا حدا ظاهريا ضحك ومزح بالوقت الي اي حد بيحتاج راي بموضوع او نتناقش باي موضوع وبوقت الجد راح تلاقيني حدا عقلاني جدا وعميق جدا
1,نفسيتي تعبانه لدرجه ودي ابعد العالم بكبره وارتاح تعبت ظروف الحياه جدا 
2,المستحيل اجراء حوار عقلاني حول المعتقدات والمفاهيم شخص ورثها ولم يكتسبها طريق العقل 
2,الدنيا حلوه واحلي سنين لاتخربها بتجربتك ياسخيف
2,سؤال ليش انا احبني
2,لماذا تاخر العلماء الوقت اختراع جهاز لكشف انعدام الضمائر الانسانيه لدي البعض 
2,الكل يفتقد النسخه القديمه نفسه رغم انها كانت اضعف واقل نضجا واكثر غباءا  ولكنها كانت اكثر سعاده وراحه
2,يارب اشفي جدتي حبيبتي و افرحنا بصحتها وعافيتها  الهم اني استودعتك اياها ف احفظها بعينك تنام ️
2,الحياه مو عادله عمرها بتكون عادله 
2,ماشي وانا واحد صاحبي امبارح وسط البلد وكان كابل الناس بتفرج جماله قربت لقيتهم يتخطو اولي ثانوي 
2,سعيده و روحي مبتهجه وايامي تلونت 
1,عايزه انهي حياتي خلاص كده واله
2,يوم تقدر تفطر برواقه يوم جميل 
1,احس مافيني اي طاقه عشان اتحمل اي مصيبه او اي خيبه بتصير
1,تقتلني الوحده رفاق 
1,حسيت عم تقتلني الوحده 
1,بجد بجد انا فعلا مكتئب و حاس بالسواد و نفسي انهي المعاناه ديه اكتر اي وقت حياتي
2,الدكتور بيقول عايزين نحسب التيارات الي الدايره قلتله عنيا هحسبلك تيارات ودبابات ه
1,واله ماقد ثبت موضوع فبالي فتره طويله الا اني انتحر وهذا اكثر شيء مو قادره اترد عنه حاولت
2,يارب يوم حلو وخفيف 
2,راح يحبك قلب مثل قلبي تاكد
1,يبق ابتسامتك الجميله تمسك فكرت بان انهي حياتي
1,قاعده امر بفتره صعبه ومحد حاس
2,والي يتغلي يربط حزام فرقاه رحله بلا رجعه و فرصه سعيده 
1,انا قوه اقنع نفسي واقول الدنيا حلوه ️
1,فيني ضيقه صدر اتكلم مكن انهار حرفيا 
1,حاولت اكون ايجابيه معاك شسوي فيك روح انتحر 
2,يارب يبقي يوم حلو
2,بانتظار ميلاد صاحبتي الاحب روحي ️️️️️️️️️
1,ابي نص طاقه ايجابيه تخليني اشتغل
2,مرات يجيني شعور ابغي افضفض او اعبر اضل اكتم نفسي عشان محد يفهمني خطا او تغير صورته عني
1,الحياه مو عادله ابدا ابدا 
1,يارب الجنه انا تعبت الحياه
1,ليه لهدرجه انا محد قادر يفهمني 
2,احبني يوم انشب ل اداره مدرستي
1,اقدر اخفي حقيقه ان روحي تعبانه اكثر اي شيء ثاني بهالفتره 
2,كلهم يتنمرون علي اني قصيره
1,نوبه بكاء حاده الهم النجاه
1,مو ياس صراحه احس خلاص مالي نصيب ف اي حاجه احبها
1,انا وحده بتعالج الاكتئاب و حاولت انتحر اكتر مره 
2,ايمان حلوه و شطوره واموره و هتقعد تذاكر حديثه انهارده وتخلص
2,صاحبتي المفضله كانت تحسب اني ملحده 
1,اكره فكره ان محد قادر يفهمني او يفهم انا قاعده امر ف ايش 
1,بدون سابق انذار احس ودي ابكي 
2,يارب احفظ تقر عيني بوجودهم جعلتهم سب سعادتي  الهم اني استودعتك اهلي احب فاحفظهم انت خير الحافظين ️
2,انا عندي قرايبي مجانين
1,بصراحه انا مدري ليه اسهر يوم يعني محد فاضي ومحد يكلمني اكلم احد اسوي شيء اكل وارقص بدون هدف
2,الهم حصن عائلتي و اهلي واحبابي احب سوء
1,ابي عزله بعيده الكل حتي جوالي وغرفتي ومكاني وعن البشر احتاج انعزل الكل واكون وحيده ب مكان بعيد كلشي واحضن نفسي وابكي وانام 
1,تعبت اعيش نفس المشاكل ٠ سنه واحس خلاص كاره نفسي وحياتي وكلشي
1,تدورن اني فتره اكون جوعانه مالي نفس اكل واحس تعبت وربي
1,احتاج طاقه ايجابيه حالا بالا
1,ليه محد جالس يفهمني
2,مافيني ضيقه وماني مكتئبه ودي ابكي فيني شعور لسي ماحصلت مسمي
1,اكره احس اني وحيده الناس وهذا الشعور متملكني هالفتره لاسف
2,بيكون هاليوم قائمه الايام السعيده علي قلبي ٰ احس روحي ترفرف وجدا سعيده ️️
2,تلومني ابتسمت وعيني بعينك 
1,احس باحباط سيء وابغا ابكي بكل ياس مافيني طاقه لبكاء
1,اكتشفت ان محد يفهمني ابدا واكتفيت بنفسي محتاج افضفض لاحد 
2,ساعدني قليلا  لاستلقاء علي الرصيف ساعدني فقط يمر الهواء  وديع سعاده
1,تعودت اكتم حزني  واخبيه بيني وبين نفسي  تعودت اسهر اليل واسولف حزني ودمعي
1,يوم طويل ومتعب جميل الحمدله ️
1,تعبت وربي الحياه احس عاد اقدر اكمل يوم زياده
2,الحياه مو عادله لدرجه انك تشوف شخص وتعتبره الشخص المناسب والي تبغي تكمل حياتك معه مايشوفك بنفس الطريقه
1,دايم احس اني وحيده دايم احس فيني نقص دايم احس ان الدنيا كلها متفقه علي عشان تبكيني
1,بالرغم اني حوليا ناس كتير شعور اني لوحدي دايما ملازمني
2,وانتهي دوامي اليوم عمل طويل جدا 
1,طيب  احتاج طاقه ايجابيه ادخل بيها دا الترم وقت ماصحيت وانا اتسدح غرفه لغرفه 
1,لان الحياه مو عادله بتبدا تخسر اشياءك تباعا لبعض 
2,يوم انزلت دمعات عينك و صديت خذتني العزه و قلت  اخذني خذيت حلو النوم مني  و خليت  اسمك علي لساني و صوتك علي اذني 
2, - يدخل النار احد قلبه مثقال حبه خردل ايمان و يدخل الجنه احد قلبه مثقال حبه خردل كبرياء 
1,اكره الحياه ماشيه معي تمام وكلشي بيرفكت فيني ضيقه واحسني ساد يعني ليه ليه  مافيني شي كلشي ماشي تمام ليش الحزن ليش 
1,انا واله اتنمر وانا بسب التنمر حاولت انتحر بالك اجي اتنمر 
1,ليه محد قادر يفهمني ت ع ب ت
1,حقيقي نفسي انهي حياتي
2,قاسيه الفؤاد ترفقت بمتيم لمح الجمال فذابا ضرها انها ابتسمت لهف لرب مبتسم ينال ثوابا
2,صاحي النوم افتكرت ان واحده صاحبتي لسا الصين وانا مطمنتش عليها  صديق علق واله
1,الدنيا مش حلوه حكيك حبيبي 
2,صاحبي شتقت 
2,اني قوه اقنع بنفسي واقول الدنيا حلوه 
1,امر بفتره احتاج شخص يفهمني محد يحس الي بداخلي غيرك انت ياربي 
1,ليه محد يفهمني ليه احس اني شخص وحيد ليه صار كلشي ضدي
1,قبل شوي كنت ابي انهي حياتي و الان مساء الخير
2,قهر ان اغاني الاعترافات حقتي راحت اهداء لشخص اهتم
1,مره احس بسعاده فورا وبنص ضحكتي تجيني كتمه وازعل مره بدون سب وعادي ابكي واصير اتذكر شي سيء بحياتي ونفسيتي تنقلب
1,احتاج طاقه ايجابيه 
1,سعيده علي الانصاف الي يحصله عباس ابراهيم هالفتره
2,الاندفاع المبالغ يحبني احبه 
1,انا الحين عايش بفتره محد عارف يفهمني جوا ابدا حتي انا كمان مب فاهمني
2,ياحافظ النعم احفظ اهلي احب 
2,﮼  انك   اكثر  الاوطان  امنا  مادمت   قلبي 
1,ليه رغم الناس يلي حوليني محد قادر يفهمني 
2,يكتمل ايمان العبد حتي يكون اله ورسوله احب اليه نفسه واهله وماله والناس اجمعين 
2,حتي حاولت انتحر فشلت اكيد العيب فيا 
2,الاحساس الداخلي حولك يصدق ويغلب مايتظاهرون واحساسي رائع جدا
1,اعترف اني حاولت انتحر و فشلت 
2,معلش جماعه تعالوا علي نفسكوا و استحموا علشان الريحه تقرف
1,قاعده اسوي اشياء حلوه بحياتي عشان الدنيا تدور وترجع شكلها مطوله
2,الهم سندي وقوتي وطني وموطني حبيبي وكل حياتي  الهم ابي ومادون فهو هين 
2,صاحبي رفيق العمر  ضي بغياب القمر ️️
1,الفتره دي احتاج انعزل الناس واجلس نفسي 
2,هالفتره اكثر فتره صايره احب افضفض وانا احب افضفض محد يفهمني
2,امبارح كان يوم جميل جميل 
1,حياتي واقفه ماني قادره اكمل انا قادره ارجع حرفيا حاسه بضياع  يارب ثبت قلبي ع القرار الصح احس بشعور الندم مرا ثانيه 
2,انسانه توها تصحي ه
1,باي حق بنت بعمري تفكر بالموت  لاي درجه وصلت حتي انهي حياتي
2,حبيبي ياحبيبي  كتبت اسمك علي صوتي  كتبته جدار الوقت علي لون السما الهادي 
2,ربي اسعدني سعاده يعقبها حزن 
1,مالقيت شي ابكي وقرت ابكي بدون سب حتي وقت دموعي خرا
1,الحين العالم الي بالكره الارضيه محد يفهمني ايش 
1,انا عمري ضمنت وجود حد ف حياتي انا دايما بصحي الاقي نفسي لوحدي اي سب 
1,اكتم زعلي لان عارفه محد راح يفهمني
1,اني مابتكلم مره ثانيه لان محد يفهمني وشكرا
2,اغنيه احبها شيء يخصك
1,حتي الفرح صاحبي صار امنيات 
1,يارب فيني ضيقه اتعبتني وابكتني الهم ارح قلبي
2,سنرزق  سنسعد  سنسي و سنعوض بکل ماهو جميل يوم 
1,الاسبوع طوله احسه سنه مو طبيعي الموضوع
1,بهالدنيا محد صار يفهمني 
2,تحت احبه عشر خطوط 
2,القلق ارهقني
1,اوعد عيوني تغيب اوعد شعوري تسكنه اوعد مكاني والزمن قلبي ابد ترك ️
1,احس تعبت شوي متطلبات الحياه
2, المستحيل اجراء حوار عقلاني حول المعتقدات والمفاهيم شخص ورثها ولم يكتسبها طريق العقل - كارلوس ثافون
1,بسرعه احتاج طاقه ايجابيه بسرعه بسرعه
2,يوم عرفتك توسطت بقلبي وانا كلي رضا هالحياه عظيم الحب الي بقلبي  قريت لدرجه كلام حلو احسه ا نكتب 
1,ابغا انهي حياتي الحين
1,مشكلتي انه مافي مشكله مشكله  ويمكن محد يفهمني انا اسفه 
1,حاولت انتحر ماقدرت  ايش انا ضعيفه
1,انا مستعده انهي حياتي باقرب فرصه
2,مرهقه بدايه اليله 
2,تسامحني علي شيء وتقعد تذكرني شوي  خلك زعلان احسن 
1,احس اني ابغي انهي حياتي ان شي ماشي تمام وحلو انا احس فكره الموت فكره سعيده وحلوه وفيها كميه راحه
2,انت شابه ناضجه ي ايمان دا هري وفاكس ليهم هتزعلي هري  انت شابه ناضجه 
2,بقي يوم علي        لو مايصيرلي شيء حلو بذا التاريخ اعرفكم تعرفوني
2,اسحب سعيد واعطيني غريب
2,الحين امي ليش تعصب يوم اتم بروحي ف الغرفه وقافله الباب  تحسني اني ادخل حبيبي المكيف
2,امس نمت وانا اشوف المسلسل ولابسه سماعاتي صحيت حسيت اني بعالم ثاني اقسم باله كاني بالمسلسل نفسه واله ضحكت
2,تلق بنظره عاجله فحسب علي الاشياء  اسمح لنفسك بمتسع الوقت  تفكر مليا 
2,صاحبتي تقول سريري يجيب النوم قالتها نامت 
2,اقول اشرح يطلع الغلط مني بدون محد يفهمني 
1,وش هالحياه القاسيه محد يحبني 
2,مكسله انزل اي مشوار حرفيا و مستقبلي بيضيع اهو و انا قمه البرود و التناحه 
2,احب غيره حبيبتي
1,روحي باهته جدا جدا لدرجه مو قادره احس بشيء لافرح حزن
2,انا احب الهند وكثير واكره شخص مكن يستهزيء فيهم او يقل قيمتهم او حتي يهينهم علطول مابمسك نفسي اذا شفته 
2,وقعت بغرام دكتوره ايمان ️
1,ربي اني ارهقني التفكير  الهم اني اعوذ كثره التفكير و القلق الهم ارزقني راحه البال وارح قلبي انت اعلم
2,احبني يوم استغبي
2,لمت حضنها وريحه عطرها ونظره عيونها ومسكه يدها اليوم بمثابه امتلاكي لعالم لعده ثواني احس روحي جدا سعيده 
1,مستحيل محد يفهمني 
2,ملاوع الهوي والخيبات تخليك شخص  عقلاني بزياده 
1,انا اعاني لان محد قادر يفهمني وحتي نفسي مو فاهمتها
1,اخطيت حق قلبي 
2,سابقي بانتظار يوم جميل صنعته مخيلتي 
1,الهم مايتمناه قلبي  اجعله واقعا 
1,وحيده بكل معني حروف الكلمه 
1,احب اشوفك بخير عفت قربك 
1,روحي تعبانه لدرجه مو لاقيه كلمه وحده توصف حجم التعب الي احسه
2,تلقاه كاتب انا انسان عقلاني  ع اساس نحنا انفكروا بالاصبع الكبير
1,بنيتك حب قلبي حظرتك تهدم 
1,الحاجات ال بتحصل حواليا بتحسني اني عايزه انهي حياتي
2,عندي الشخص الي اسميه  بهجه روحي  سعيده الي درجه تنوصف 
2,هشتاق روعه جدا
1,احتاج انعزل البشريه
2,احب احساسي بكل شي  احسه صادق جدا بزمن مزيف  اشوف احد نفسي  مو غرور انا
1,ليش ناس ضدي ليش محد يفهمني اله يلعنهم وحده وحده يارب
2,عطوني اغاني لماجد احس صايره احبه مره
2,روحي سعيده 
2,سندي معاريفي و طيب ظنوني و ابعدي شبحي ليا قربت شبوح الهين 
1,ياخ يع ازعل و اتضايق انا و محد يفهمني
1,احتاج انعزل شيء بالمده ماعرف 
1,يبي قربك م تعذر ب الظروف 
2,مبسوطه هالسنه وانا مره احبني
2,احبني وكثير واله ياربي الحمداله اني مها ️
2,ي قرايبي سيبوني فحالي شويه عايزه اتنفس 
2,اخوي مادري شفيه متحمس قاعد يحن يبي يروح المكتبه اليوم 
2,اصلا مو مهم اذا تكرهني المهم انا احبها
1,حول راسي الضيق حول 
2,الموضوع يحتاج الي حكمه وقرار عقلاني حفاظا علي الجميع لانه يجب 
2,احد يستطيع فك شفره دموع الانثي الا رجلا احبها بصدق 
1,انا حزين علي نفسي وعلي حالي وعلي الي بيحصلي اول السنه ديه انا مش عاوز اكمل الحياه ديه بجد مش عاوز اكملها واله انا تعبت 
1,مجتمعي يتنمر علي الشخص حي و اذا مات يوقف تنمر و يتنمرون علي الاشخاص الي يتنمرون علي الميتين الي كانوا كلهم يتنمرون عليهم
2,الهم انر قبر حبيبتي واجعل ملائكه الرحمه يطوفون عليها جانب
2,سابقي بانتظار يوم جميل رسمته خيالي 
2,يوم انزلت دمعات عينك وصديت خذتني العزه قلت اخذني خذيت حلو النوم مني  وخليت اسمك علي لساني وصوتك علي اذني
1,احتاج انعزل كلشي هالفتره واغير حساباتي 
2,روحي سعيده سعيده الحمدله ياربي ️️️️️
1,حاولت مرات كثيره انتحر و جرحت نفسي كثير بكل مره اكون اقوي بكل مره اكون اذكي و افضل ناس كثيره تكرهني
2,ليه اغلبكم متحمس حق تاريخ بكرا 
1,محد راضي يفهمني وانا اعرف اوصل الي ابيه صح
1,يوم شفت قلبك تغير وابتعد عني عافت العين قربك وانت غاليها 
2,لحول الي يقربولي ينبشون وراي بزياده لاعت جبدي منهم
1,الزمن صاحبي كله اهوال يهدي البسمه و يرجع يبكيك
1,واله حزن شوق حنين ضيقه جالسه تغير فيني مادري انا ماعندي قلب قلبي صار قاسي كثر اتضايق ماصرت احس 
2,كن حبيبي او كن صديقي او الاثنين معا 
1,احد يقتلني  تعبت الحياه 
1,السنين الطويله احبت او احبني اخرون  تستطع اي عاطفه ان تلغي حاجتي لبقاء وحيده  لرحيل شيء نهايه المطاف
2,باسمك ربي حصنت اهلي احب ان يصيبهم اذي فيصيبني اضعافه
1,جميل يكون اليوم يوم ميلادك احد يعبرك 
1,لابد محد يفهمني
2,روحي جدا سعيده بشوفته
2,اه انا جدا سعيده لاني قاعده اجهز هالشي الحلو ️️️️️️️️️️
2,مره اكره اتكلم بالريل واحب اكون ساكته اغلب الاوقات ليش  لان محد يفهمني
2,هاي معكم ايمان حابه اصير مغنيه صوتي مو مساعد
1,موجع شعور التبلد نوبه بكاء 
1,انا مونفسيه انا مكسوره
1,انا مكسوره داخل صعب افسر احزاني 
2,ماشاء اله اغلب الي باقي غياب واحد وبعدين حرمان  اله يعينكم ه
2,اصعب شعور اكتم شي بقلبي افضفض شخص لانه تعودت علي الطبع 
1,انا مطفئه  مكسوره  مكتابه
2,المشاعر تغير شوي شوي الوقت والافعال 
1,الكل متحمس لبكرا الا انا عارفه ايامي اخنث الي بعدها
1,واحد صاحبي رايح ل ابوه بيقوله بابا انا بقيت ملحد  ابوه قالو ملحد ملحد المهم تصلي او مصليتش هركبك 
2,عارف الي 'ياريتني ماتكلمت مكنت قاعد وساكت وكانت الدنيا حلوه لازم اتكلم يعني وندخل ف نقاش ملوش لازمه 
2,يعني بطبخ طبخ كلابي كده
2,انا عندي استعداد افلت يديني وامشي عكس رغبه قلبي حاله ان الحال ماينطاق
1,ياناس محد يحبني محد يحبني وش انا مجروحه لاصاحب لاصديق وافي واشكيله لاحبيب يسوا اوفيله ياجرح روحي لمحد يشيله
2,احبها مره وخصوصا نضارب 
1,احب اكتم مشاعري عشان م اتحسف 
2,عم بعرف عنك لسا اكتر واكتر رحتي  بحكو عنك بكل مكان  تاركه قص بكل قلب انسان عرفك حبيبتي 
2,الهم امطر علي قلوبنا اخبارا سعيده تدمع اعينا فرحا 
1,الوحده تقتلني ولادعم ولاشي ياله برزق ماتخيلنها ماهو ع البشر يارب
1,هالفتره فقدت علاقاتي جالس اتوحد بشكل حقيقي 
1,انا فضفضت لناس ومهما شكيت احس محد يفهمني نفسي فلذالك السكوت عندي افضل شيء
1,انه يشوف شلون احبه و اغليه تحسف علي وقت فرغ و جاني
1,اكره الويكند لاني طول الوقت اهلي متي يجي الاحد
2,احبني يطيب خاطري شي ارجع ثاني مستحيل
2,ضحكت ايام  بكين سنين 
2,معصبه معصبه معصبه منجد انا اكره الدوام قلبي انا اكثر وحده تكره الدوام
2,كنت اقول علي ان اضحكها تقع حبي ضحكت كنت اقع حبها اكثر 
2,قرايبي فاهمين الاجازه غلط  ليوم الثالت ع التوالي بعملو كعك وكانها اجازه عيد واله 
2,احتاج طاقه ايجابيه اواجه يومي 
1,الدنيا كانت حلوه وبك ليه بيخلق جنه 
2,طالما اني اؤذي احد يهمني ان احبني احدهم او يحبني انا  علي الارض لتسليه البشر
2,يكون يوم يتيم سعيد و يجي يدري دماغك ينكد و يفكرك بالدراسه و النتيجه و تشيل الهم و تقلب وشك اقل ثانيه 
1,عندي شعور غريب  نفس مسدوده شيء الحياه  اله الا انت سبحانك اني كونت الظالمين 
1,ابتسمت لمستقبلي قال متي الميانه 
1,قاعده افكر الحياه ليه مو عادله معانا لهالدرجه  ليه تفرحنا بحاجه وتنكد علينا بالف 
1,يارب يصادفني شيء يسعدني بكره انا مكسوره الان
1,روحي باهته جدا وقلبي داكن والعتمه ماليه المكان 
1,انا فيني ارق  شهور ساعدوني 
2,شكل شخصيتي غثيثه الناس تسوي فولو وتشيله ه
2,احب اسوي نفسي ادري وانا استخبارات اصلا 
1,اله يلعن مشاعر الساعه  الي تخليني ابكي بدون سب
2,ايقنت ان اله احبني اهداني انت ️
2,الدنيا حلوه مثل ضحكتي 
2,اجعلوا لقران نصيبا يومكم  فالقران طاقه نفسيه ايجابيه ومعجزه الهيه  تطمئن النفوس وتهنيء القلوب ويتلاشي التعب
2,اجعله ملكي  حلالي و سندي  و اجعلني احمل اسمه حتي ٰ المشيب الل ٰ ه ️️
1,احتاج طاقه ايجابيه عميقه اواجه يومي 
1,الشرطه والكل عرف اني حاولت انتحر وقتها وعادي عدت عطوني جلسات نفسيه الدكتوره بنفس المستشفي وطلعت فتره هالكلام كان بالمواساه
1,انا  احترم نفسي واعتز بكرامتي احب ان افرض نفسي علي احد انسحب بهدوء عندما اشعر انه يعد مكان ️
1,انا حزينه ومكسوره القلب لقد تعبت الحياه اريد حياتي الثانيه تنفعني اهم الاشياء تحصل يوم 
2,واحد يغني وماسك ملعقه ليش  يقلب المواجع ه 
1,انا فعلا تعبت الحياه 
1,قاعده اكره بنات الدوام بشكل اعوذ باله ودي اولع فيهم كريهات متصنعات منافقات ومصلحجيات
1,الوحده تقتلني 
1,اله يجمعني فيك كثر تمنيت قربك 
2,احب ريحه جدتي احبها
2,اموت شخص يسوي شيء لانه يدري انه يعجبني احبه 
2,الامير احمد بن عبدالعزيز يتميز بالتالي  رجال عقلاني النضوج السياسي صاحب شعبيه كبير الاحق و الاجدر لحكم
1,تكفون بصيح ليه محد يفهمني 
2,الدنيا حلوه مثل 
1,تكون صاحبي و اعاتبك علي اغلاطك يعني انا اشوف مكانك اشوفك اعلي التفاهات الي تسويها اشوفك اكبر بكثير 
2,القلق القلق القلق مسيطر ع حياتي اتخلص اوف بتربع ع عرش السعاده
2,احب اقول ان اهلي برانكو افضل اهلي جروس
2,تجاهلني تريد لكنك يوما ستفتقد كنت اهتم لامرك 
2,قاعده عم اتروق انا واختي وخي بامان اله فجاه بقلي  بحسك ايمان مايعه 
1,خلال تجربتي الاكتئاب يحتاج لقطع حبل افكار حتي يروح يعني شي مثل الصدمه 
2,الهم تفجعني احب  ربي اعوذ فواجع القدر  ومراره الفراق  الهم اني استودعتك نفسي و عائلتي احب 
1,محد قادر يفهمني لحين 
2,نفس العيون الي ضحكت  بكت 
1,احتاج انهي حياتي 
1,عندي هدف فقدت الحماس اني اكمل 
2,روحي سعيده وقلبي طاير ومبتهج 
2,انا عارفه ان الي هقوله دا يبان عقلاني علي الاطلاق انا شامه ريحه الجو كوكنت
2,احبها انا 
2,يتعافي المرء بكوبايه شاي ف براد القرن السابع عشر
2,المستحيل اجراء حوار عقلاني حول المعتقدات والمفاهيم شخص ورثها ولم يكتسبها طريق العقل - كارلوس ثافون
2,استودعت اله نفسي وعائلتي احب والمسلمين يارب 
1,علي اني حاولت انتحر كثير ربي كاتب الحياه 
1,علي حياتنا ان تكون  فقط  تمرينا علي جمال الرحيل 
2,انا اتجاهل صاحبي انسي اخبي بخاطري لين خاطري يطيب 
1,الي يسالني  ليش يغلطون وماترد عليهم  بذمتك عضك كلب ترد تعضه  نجاسه ي صاحبي 
1,انا مادري ليش دايم نومي متقطع واحلامي تخوف وغريبه 
1,زعلانه لاني لقيت حظ ب شي احبه 
1,انا وحده الناس احب اسولف نفسي وافضفض لنفسي واشكي لنفسي شعور بطل لازم تجربونه
1,اقسم باله الضيقه خانقتني ابي اطلع البقعه ابي اعيش الحياه الي ابيها ابي احق حلمي حتي كان سخيف تعبت مرضت الي قاعدين نعيشه خلاص
1,قاعده امر بفتره صعبه واحس اني وحيد
1,محد يقدر يفهمني جوا 
2,لاحدهم اصلح فساد قلبي او احبني بهذا الخراب
1,الحياه مو عادله ابدا راح تنصفنا وتعطينا حقنا 
2,شفيها لاصارت الدنيا حلوه مثل ضحكتي 
2,وراي مشوار مدري بقوم اتجهز ورانا هالكورونا مسب رعب 
2,عامك سعيد و ايامك اسعد وابهي ياصديق الروح 
2,يلا استني اكل  ساعات اخر شي اكل م احبه طيب اول قلتوا عشان اسوي اكل
2,مو دراما احس اني بديت اغرق داخلي رغم اني صامد قدام الكل
2,مديم النعم  ادم اهلي و احب 
2,سعيده جدا بميلاد توام روحي 
1,علي الاقل كان المفروض تكسر قلبي و انت قلبي
1,حاولت انتحر مرتين بسبهم
1,اكره حياتي واكره نفسي واكره اهلي واكره الناس 
2,يوجد ايمان  بدون الشك 
1,مرهقه نفسيا و جسديا جدا و مش قادره اتكلم حتي افضفض
1,اكره احد يكلم الشخص الي احبه اكثر مني 
2,روحي سعيده وفوق الغيم 
2,اكاونتي بتويتر  مساحه خاصه فيني اوزع طاقه ايجابيه اوزع طاقه سلبيه اوزع مرقوق محد شغل فيني
1,حبيبي كفايا الجفا والخصام تعال نجد ليالي الغرام
1,احس محد يحبني 
1,محد راضي يفهمني ويفهم الخبطه الي فقلبي 
2,فعليا انا بعرفش اشكال قرايبي الاغلب
2,الاشياء المستودعه اله تضيع  فاستودعتك الهم اهلي وسعادتي وقلبي احب وامور حياتي فان ودائعك تضيع 
1,امر بفتره صعبه جدا وهي الكره ل شي حولي 
2,قولوا انه ب الخفي حي مامات زال غالي عيوني  واوده طالت الغيبه وبعد المسافات يبقي ب قلبي مابه انسان قده
2,قطع لسان قلبي ال نداها
1,يارب تعطيني طاقه ايجابيه شوي ️
2,صرت احبني واله
2,ليه محد يفهمني الي ابغاه اني اخذ قصطا النوم
2,انثي بداخلها جمال صادق يراه الا رجل احبها ب صدق
2,الهم رتب احداثا سعيده قادم الايام
2,وربي اكثر شيء احبه فيني اني اقدر اتخطي الشخص ونا مغمضه عيني كانت مكانته عندي
2,تمادوا بحب الاشياء تجعل ارواحكم سعيده و دافئه الداخل 
2,انت لاشفت زولك قمت اهلي ي احب واغلي لعيني نظر عيني 
2,احبها النونو
1,احس مافيني طاقه لشي احس بفراغ كبير مافي شي قادر يمليه
2,يارب خف الم صاحبتي واحفظها 
1,الحياه حقا عادله انا مو حاويه قمامه ومع اضطر اتعامل الكم القرف 
